,name,salary_from,salary_to,salary_currency,area_name,published_at
2084,IT-лидер команды разработки,,,,Москва,2022-12-12T12:18:05+0300
2085,Frontend-разработчик,,,,Уфа,2022-12-12T12:45:31+0300
2086,Журналист / новостник,30000.0,50000.0,RUR,Уфа,2022-12-12T12:53:01+0300
2087,Дизайнер,,,,Брянск,2022-12-12T13:25:33+0300
2088,Аналитик,,,,Казань,2022-12-12T14:40:51+0300
2089,Инженер-механик,,120000.0,RUR,Чехов,2022-12-12T14:43:32+0300
2090,Информационный аналитик (Junior),,,,Москва,2022-12-12T17:19:43+0300
2091,Консультант-стажер 1С:WMS (Специалист по автоматизации складской логистики),,,,Москва,2022-12-12T16:09:12+0300
2092,3D-моделлер,40000.0,,RUR,Нижний Новгород,2022-12-12T13:27:15+0300
2093,Главный специалист информационно-аналитического отдела,50000.0,,RUR,Тюмень,2022-12-12T12:08:15+0300
2094,CRM маркетолог,,,,Москва,2022-12-12T16:08:10+0300
2095,Помощник программиста,30000.0,80000.0,RUR,Черкесск,2022-12-12T12:28:30+0300
2096,Специалист по защите информации,40000.0,40000.0,RUR,Северск (Томская область),2022-12-12T12:40:41+0300
2097,Модератор,,,,Москва,2022-12-12T17:02:29+0300
2098,Главный бизнес-аналитик,,,,Москва,2022-12-12T15:45:01+0300
2099,Технический директор,70000.0,90000.0,RUR,Челябинск,2022-12-12T16:27:25+0300
2100,Тестировщик ПО,40000.0,65000.0,RUR,Кострома,2022-12-12T14:57:12+0300
2101,Графический дизайнер,35000.0,50000.0,RUR,Челябинск,2022-12-12T13:27:56+0300
2102,Управляющий проектом.Маркетплэйсы,,,,Москва,2022-12-12T14:36:27+0300
2103,IT Project Manager (менеджер проектов),30000.0,,RUR,Волгоград,2022-12-12T13:28:19+0300
2104,Frontend-разработчик (React/Redux),,,,Саратов,2022-12-12T16:12:35+0300
2105,Art director,150000.0,180000.0,RUR,Москва,2022-12-12T13:23:19+0300
2106,Специалист технической поддержки (автомобильные охранные системы),60000.0,,RUR,Санкт-Петербург,2022-12-12T17:18:30+0300
2107,Мастер производственного участка,60000.0,,RUR,Кострома,2022-12-12T15:31:16+0300
2108,Специалист службы технической поддержки,58000.0,90000.0,RUR,Зеленоград,2022-12-12T15:22:57+0300
2109,Инженер-программист станков с ЧПУ,90000.0,110000.0,RUR,Москва,2022-12-12T15:19:57+0300
2110,Шлифовщик,45000.0,,RUR,Калининград,2022-12-12T17:55:25+0300
2111,Сетевой инженер,,120000.0,RUR,Мытищи,2022-12-12T12:37:18+0300
2112,Токарь-универсал,120000.0,,RUR,Самара,2022-12-12T12:51:56+0300
2113,Графический дизайнер / Дизайнер,60000.0,90000.0,RUR,Москва,2022-12-12T15:53:59+0300
2114,Механик,45000.0,60000.0,RUR,Киров (Кировская область),2022-12-12T13:44:29+0300
2115,Корректор,60000.0,70000.0,RUR,Москва,2022-12-12T12:46:26+0300
2116,ORM-специалист,25000.0,55000.0,RUR,Москва,2022-12-12T17:45:57+0300
2117,Технический специалист,70000.0,100000.0,RUR,Москва,2022-12-12T12:30:11+0300
2118,Главный специалист по контролю технического состояния транспортных средств,94410.0,,RUR,Москва,2022-12-12T16:08:24+0300
2119,Бизнес-аналитик BI,,120000.0,RUR,Санкт-Петербург,2022-12-12T17:18:53+0300
2120,Системный администратор (медицинское учреждение),70000.0,90000.0,RUR,Санкт-Петербург,2022-12-12T17:49:33+0300
2121,Дизайнер интерфейсов,,,,Казань,2022-12-12T17:31:40+0300
